spatial_ref,MNDWI,X,Y
32636,-0.54702073,592455.0,-2768505.0
32636,-0.5446208,592485.0,-2768505.0
32636,-0.5469718,592515.0,-2768505.0
32636,-0.5536223,592545.0,-2768505.0
32636,-0.5525504,592575.0,-2768505.0
32636,-0.54374176,592605.0,-2768505.0
32636,-0.5379241,592635.0,-2768505.0
32636,-0.5264339,592665.0,-2768505.0
32636,-0.49648145,592695.0,-2768505.0
32636,-0.44252065,592725.0,-2768505.0
32636,-0.3339398,592755.0,-2768505.0
32636,-0.22389112,592785.0,-2768505.0
32636,-0.17215617,592815.0,-2768505.0
32636,-0.1457466,592845.0,-2768505.0
32636,-0.09991525,592875.0,-2768505.0
32636,-0.044811025,592905.0,-2768505.0
32636,-0.010521952,592935.0,-2768505.0
32636,-0.0646156,592965.0,-2768505.0
32636,-0.12006829,592995.0,-2768505.0
32636,-0.17180891,593025.0,-2768505.0
32636,-0.2431387,593055.0,-2768505.0
32636,-0.3212305,593085.0,-2768505.0
32636,-0.41145545,593115.0,-2768505.0
32636,-0.47859976,593145.0,-2768505.0
32636,-0.5273256,593175.0,-2768505.0
32636,-0.5325662,593205.0,-2768505.0
32636,-0.53372675,593235.0,-2768505.0
32636,-0.52796346,593265.0,-2768505.0
32636,-0.53520155,593295.0,-2768505.0
32636,-0.5409304,593325.0,-2768505.0
32636,-0.5408742,593355.0,-2768505.0
32636,-0.53713,593385.0,-2768505.0
32636,-0.53587306,593415.0,-2768505.0
32636,-0.5325534,593445.0,-2768505.0
32636,-0.5311638,593475.0,-2768505.0
32636,-0.5317496,593505.0,-2768505.0
32636,-0.52390105,593535.0,-2768505.0
32636,-0.5139643,593565.0,-2768505.0
32636,-0.51640594,593595.0,-2768505.0
32636,-0.5275346,593625.0,-2768505.0
32636,-0.5312863,593655.0,-2768505.0
32636,-0.5382174,593685.0,-2768505.0
32636,-0.5429946,593715.0,-2768505.0
32636,-0.5369198,593745.0,-2768505.0
32636,-0.5386264,593775.0,-2768505.0
32636,-0.54089487,593805.0,-2768505.0
32636,-0.53913665,593835.0,-2768505.0
32636,-0.53818434,593865.0,-2768505.0
32636,-0.53909665,593895.0,-2768505.0
32636,-0.5380383,593925.0,-2768505.0
32636,-0.54156953,593955.0,-2768505.0
32636,-0.5487496,593985.0,-2768505.0
32636,-0.54531384,594015.0,-2768505.0
32636,-0.5417518,594045.0,-2768505.0
32636,-0.5395244,594075.0,-2768505.0
32636,-0.53869724,594105.0,-2768505.0
32636,-0.5326911,594135.0,-2768505.0
32636,-0.52898574,594165.0,-2768505.0
32636,-0.52997524,594195.0,-2768505.0
32636,-0.52918637,594225.0,-2768505.0
32636,-0.5336441,594255.0,-2768505.0
32636,-0.5367694,594285.0,-2768505.0
32636,-0.54673404,594315.0,-2768505.0
32636,-0.5517989,594345.0,-2768505.0
32636,-0.54868287,594375.0,-2768505.0
32636,-0.5292898,594405.0,-2768505.0
32636,-0.51707137,594435.0,-2768505.0
32636,-0.524109,594465.0,-2768505.0
32636,-0.53365886,594495.0,-2768505.0
32636,-0.5321921,594525.0,-2768505.0
32636,-0.52840805,594555.0,-2768505.0
32636,-0.52912915,594585.0,-2768505.0
32636,-0.5328095,594615.0,-2768505.0
32636,-0.53300285,594645.0,-2768505.0
32636,-0.5234319,594675.0,-2768505.0
32636,-0.5199968,594705.0,-2768505.0
32636,-0.5155565,594735.0,-2768505.0
32636,-0.51376474,594765.0,-2768505.0
32636,-0.52340555,594795.0,-2768505.0
32636,-0.5157843,594825.0,-2768505.0
32636,-0.4976091,594855.0,-2768505.0
32636,-0.5183431,594885.0,-2768505.0
32636,-0.5419923,594915.0,-2768505.0
32636,-0.5394716,594945.0,-2768505.0
32636,-0.52681595,594975.0,-2768505.0
32636,-0.5156994,595005.0,-2768505.0
32636,-0.509218,595035.0,-2768505.0
32636,-0.5091544,595065.0,-2768505.0
32636,-0.5101035,595095.0,-2768505.0
32636,-0.51040894,595125.0,-2768505.0
32636,-0.5158785,595155.0,-2768505.0
32636,-0.51966345,595185.0,-2768505.0
32636,-0.52260077,595215.0,-2768505.0
32636,-0.5311169,595245.0,-2768505.0
32636,-0.5385039,595275.0,-2768505.0
32636,-0.53457195,595305.0,-2768505.0
32636,-0.5313374,595335.0,-2768505.0
32636,-0.53057677,595365.0,-2768505.0
32636,-0.52498996,595395.0,-2768505.0
32636,-0.5156722,595425.0,-2768505.0
32636,-0.51363325,595455.0,-2768505.0
32636,-0.5119226,595485.0,-2768505.0
32636,-0.51349676,595515.0,-2768505.0
