plotid,center_lon,center_lat,shape,size_m,sample_points,email,flagged,flagged_reason,confidence,collection_time,analysis_duration,common_securewatch_date,total_securewatch_dates,Class:Water bodies,Class:Artificial surfaces,Class:Cultivated land,Class:Treeds areas,Class:Prairies,Class:Wetlands,Class:Other land
1,1.4211462561812367,11.743118538635109,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:21,207.1 secs,,0,0,0,0,100.00,0,0,0
2,1.77148921698785,12.314200374628834,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:21,-0.1 secs,,0,0,0,100.00,0,0,0,0
3,-1.0312544694650567,14.019793205015777,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:23,70.3 secs,,0,0,0,0,0,100.00,0,0
4,-4.1843411167245765,11.170851006286313,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:23,27.5 secs,,0,0,0,100.00,0,0,0,0
5,-4.885027038337803,11.857431503127257,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:24,-14.0 secs,,0,0,0,100.00,0,0,0,0
6,0.01977441295478339,14.359446562555084,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:24,7.7 secs,,0,0,0,100.00,0,0,0,0
7,0.6036793476324723,11.514350756577553,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:24,-11.8 secs,,0,0,0,0,0,100.00,0,0
8,-0.6809115086584433,12.314200374628834,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:25,-3.8 secs,,0,0,0,100.00,0,0,0,0
9,-3.250093221240274,12.314200374628834,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:25,-13.4 secs,,0,0,0,100.00,0,0,0,0
10,-4.1843411167245765,12.08591340319478,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:25,-9.4 secs,,0,0,0,100.00,0,0,0,0
11,2.238613164730001,11.743118538635109,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:26,22.5 secs,,0,0,0,0,100.00,0,0,0
12,-3.016531247369199,12.20008147126884,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:26,-13.2 secs,,0,0,0,100.00,0,0,0,0
13,-2.7829692734981233,9.562662103900985,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:27,39.1 secs,,0,0,0,0,100.00,0,0,0
14,0.6036793476324723,12.884042357730653,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:28,-2.5 secs,,0,0,0,0,0,0,0,100.00
15,-0.4473495347873677,12.997857248814531,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:28,8.2 secs,,0,0,0,100.00,0,0,0,0
16,-3.8339981559179637,12.20008147126884,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-11-24 14:29,-17.3 secs,,0,0,0,100.00,0,0,0,0
