plotid,center_lon,center_lat,shape,size_m,sample_points,email,flagged,flagged_reason,confidence,collection_time,analysis_duration,common_securewatch_date,total_securewatch_dates,Class:Water bodies,Class:Prairies,Class:Cultivated land,Class:Wetlands,Class:Artificial surfaces,Class:Other land,Class:Treeds areas
1,7.542944761832843,33.902610146933746,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:51,17.3 secs,,0,0,0,0,0,0,100.00,0
2,7.542944761832843,34.05159762704104,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:51,5.8 secs,,0,0,0,0,0,0,100.00,0
3,7.632776290244796,33.60385330377519,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:51,5.9 secs,,0,0,0,0,0,0,100.00,0
4,7.632776290244796,33.67864007527444,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:51,6.0 secs,,0,0,0,0,0,0,100.00,0
5,7.632776290244796,33.75336185321156,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:51,12.2 secs,,0,0,0,0,0,0,100.00,0
6,7.632776290244796,33.82801856709428,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:51,5.6 secs,,0,0,0,0,0,0,100.00,0
7,7.632776290244796,33.902610146933746,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:51,5.2 secs,,0,0,0,0,0,0,100.00,0
8,7.632776290244796,33.977136523243935,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:51,5.5 secs,,0,0,0,0,0,0,100.00,0
9,7.632776290244796,34.05159762704104,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:51,5.3 secs,,0,0,0,0,0,0,100.00,0
10,7.632776290244796,34.125993389842826,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:51,5.2 secs,,0,0,0,0,0,0,100.00,0
11,7.722607818656748,33.52900160971016,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:51,5.2 secs,,0,0,0,0,0,0,100.00,0
12,7.722607818656748,33.60385330377519,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:51,5.3 secs,,0,0,0,0,0,0,100.00,0
13,7.722607818656748,33.67864007527444,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:51,5.2 secs,,0,0,0,0,0,0,100.00,0
14,7.722607818656748,33.75336185321156,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:51,5.0 secs,,0,0,0,0,0,0,100.00,0
15,7.722607818656748,33.82801856709428,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:51,5.1 secs,,0,0,0,0,0,0,100.00,0
16,7.722607818656748,33.902610146933746,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:51,5.1 secs,,0,0,0,0,0,0,100.00,0
17,7.722607818656748,33.977136523243935,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:51,5.1 secs,,0,0,0,0,0,0,100.00,0
18,7.722607818656748,34.05159762704104,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:51,5.1 secs,,0,0,0,0,0,0,100.00,0
19,7.722607818656748,34.125993389842826,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:51,5.9 secs,,0,100.00,0,0,0,0,0,0
20,7.8124393470687,33.304057709657116,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:52,6.9 secs,,0,0,0,0,0,0,100.00,0
21,7.8124393470687,33.37910374039196,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:52,5.2 secs,,0,0,0,0,0,0,100.00,0
22,7.8124393470687,33.45408506458033,square,50.0,4,anis.ghattassi@oss.org.tn,false,,100,2022-12-01 18:52,5.3 secs,,0,0,0,0,0,0,100.00,0
