data-start,data-end,data-deviceid,data-username,data-welcome,data-organization_name,data-project_name,data-data_consent,data-consent_given-access_consent,data-consent_given-field_fallow,data-consent_given-field_planted-post_harvest_record,data-consent_given-field_planted-post_harvest_tip,data-consent_given-field_planted-primary_crop_type,data-consent_given-field_planted-multiple_crops,data-consent_given-field_planted-multiple_crops_percentage,data-consent_given-field_planted-primary_crop,data-consent_given-field_planted-primary_crop_other,data-consent_given-field_planted-primary_coffee_variety_other,data-consent_given-field_planted-secondary_crop,data-consent_given-field_planted-secondary_crop_other,Cleaned_Coordinates,data-consent_given-field_planted-crop_development,data-consent_given-field_planted-primary_coffee_variety,data-consent_given-field_planted-trees_count,data-consent_given-field_planted-trees_planting_date,data-consent_given-field_planted-yield_reporting,data-consent_given-field_planted-yield_reporting_guide,data-consent_given-field_planted-repeat_tip,data-consent_given-field_planted-tree_rpt,data-consent_given-field_planted-sampling_site_rpt,data-consent_given-field_planted-planting_date_type,data-consent_given-field_planted-planting_date_exact,data-consent_given-field_planted-planting_date_estimate,data-consent_given-field_planted-planting_date,data-consent_given-field_planted-harvesting_date_type,data-consent_given-field_planted-harvesting_date_exact,data-consent_given-field_planted-harvesting_date_estimate,data-consent_given-field_planted-harvesting_date,data-consent_given-water_source,data-consent_given-field_center,data-consent_given-field_center-altitude,data-consent_given-field_center-accuracy,data-consent_given-field_outside_corner,data-consent_given-field_outside_corner-altitude,data-consent_given-field_outside_corner-accuracy,data-consent_given-field_boundary,data-consent_given-field_area_grp-field_area,data-consent_given-field_area_grp-field_area_unit,data-consent_given-field_photo_ask,data-consent_given-field_photo_rpt,data-goodbye,data-meta-instanceID,KEY
19/4/2022 11:43,19/4/2022 11:46,collect:mUMX72Oc17QENs4a,RCMRD 2, ,RCMRD,Zambia crop type mapping,farmer,yes,no,no, ,annual,no, ,maize, , , , ,"-14.987923,28.269215",harvest_ready, , , ,no, , ,data-consent_given-field_planted-tree_rpt,data-consent_given-field_planted-sampling_site_rpt,unknown, , , ,unknown, , , ,rainfed,"-14.988505,28.2688773",1155.51,1.892,"-14.988505,28.2688773", , ,-14.9884313 28.2688411 0.0 0.0; -14.987882409116624 28.268313109874725 0.0 0.0; -14.987910585823482 28.269116766750813 0.0 0.0; -14.988300849025363 28.269237466156483 0.0 0.0; -14.9884313 28.2688411 0.0 0.0,3,acre,yes,data-consent_given-field_photo_rpt, ,uuid:5ba13c70-3535-485f-94fe-20f10fcbf0cc,uuid:5ba13c70-3535-485f-94fe-20f10fcbf0cc
19/4/2022 11:46,19/4/2022 11:47,collect:mUMX72Oc17QENs4a,RCMRD 2, ,RCMRD,Zambia crop type mapping,farmer,yes,no,no, ,annual,no, ,other_annual,Sweet potato, , , ,"-14.987863,28.268245", , , , ,no, , ,data-consent_given-field_planted-tree_rpt,data-consent_given-field_planted-sampling_site_rpt,unknown, , , ,unknown, , , ,rainfed,"-14.9877077,28.2684144",997.438,4.134,"-14.9877077,28.2684144", , ,-14.987485667735498 28.26893236488104 0.0 0.0; -14.9882925 28.2687683 0.0 0.0; -14.98817259663255 28.267988227307796 0.0 0.0; -14.987586391535384 28.26834999024868 0.0 0.0; -14.987485667735498 28.26893236488104 0.0 0.0,2,acre,yes,data-consent_given-field_photo_rpt, ,uuid:2c74930a-e5a7-4e22-a714-af8087dfff36,uuid:2c74930a-e5a7-4e22-a714-af8087dfff36
19/4/2022 11:25,19/4/2022 11:27,collect:mUMX72Oc17QENs4a,RCMRD 2, ,RCMRD,Zambia crop type mapping,farmer,yes,no,no, ,annual,no, ,groundnut, , , , ,"-14.987237,28.2651773", , , , ,no, , ,data-consent_given-field_planted-tree_rpt,data-consent_given-field_planted-sampling_site_rpt,month_year, ,1/12/2021,2021-12-01T00:00:00.000+02:00,month_year, ,1/4/2022,2022-04-01T00:00:00.000+02:00,rainfed,"-14.987237,28.2651773",1165.201,2.926,"-14.987237,28.2651773", , ,-14.987284543864616 28.265905156731606 0.0 0.0; -14.987959490213923 28.264893628656864 0.0 0.0; -14.9869409163307 28.264170102775097 0.0 0.0; -14.9861415996312 28.264660611748695 0.0 0.0; -14.986461261894744 28.265837766230106 0.0 0.0; -14.987284543864616 28.265905156731606 0.0 0.0,1,hectare,yes,data-consent_given-field_photo_rpt, ,uuid:500d004e-57f6-4ae9-adfd-4c3b7aa4837b,uuid:500d004e-57f6-4ae9-adfd-4c3b7aa4837b
19/4/2022 10:51,19/4/2022 10:54,collect:mUMX72Oc17QENs4a,RCMRD 2, ,RCMRD,Zambia crop type mapping,farmer,yes,no,no, ,annual,no, ,soybean, , , , ,"-14.9866653,28.2617989", , , , ,no, , ,data-consent_given-field_planted-tree_rpt,data-consent_given-field_planted-sampling_site_rpt,unknown, , , ,unknown, , , ,supplementary,"-14.9866653,28.2617989",1176.698,4.906,"-14.9866653,28.2617989", , ,-14.98669412599891 28.262177892029285 0.0 0.0; -14.9866651 28.2617986 0.0 0.0; -14.986510490488643 28.261365853250027 0.0 0.0; -14.986105001996092 28.261423856019974 0.0 0.0; -14.986152287434955 28.262202702462673 0.0 0.0; -14.98669412599891 28.262177892029285 0.0 0.0,1,hectare,yes,data-consent_given-field_photo_rpt, ,uuid:de746fd9-dd64-40e5-a16a-740910096ecb,uuid:de746fd9-dd64-40e5-a16a-740910096ecb
19/4/2022 10:54,19/4/2022 10:55,collect:mUMX72Oc17QENs4a,RCMRD 2, ,RCMRD,Zambia crop type mapping,farmer,yes,no,no, ,annual,no, ,beans, , , , ,"-14.9866833,28.2617058", , , , ,no, , ,data-consent_given-field_planted-tree_rpt,data-consent_given-field_planted-sampling_site_rpt,unknown, , , ,unknown, , , ,supplementary,"-14.9866833,28.2617058",1166.645,4.96,"-14.9866833,28.2617058", , ,-14.985747446010695 28.260479383170605 0.0 0.0; -14.985332887598767 28.26246589422226 0.0 0.0; -14.98687290327554 28.26331179589033 0.0 0.0; -14.9866834 28.2617059 0.0 0.0; -14.985747446010695 28.260479383170605 0.0 0.0,1,hectare,yes,data-consent_given-field_photo_rpt, ,uuid:2fb77654-edb7-41e1-925e-c588c7931b06,uuid:2fb77654-edb7-41e1-925e-c588c7931b06
19/4/2022 10:48,19/4/2022 10:50,collect:mUMX72Oc17QENs4a,RCMRD 2, ,RCMRD,Zambia crop type mapping,farmer,yes,no,no, ,annual,no, ,maize, , , , ,"-14.9865534,28.2620587",harvest_ready, , , ,no, , ,data-consent_given-field_planted-tree_rpt,data-consent_given-field_planted-sampling_site_rpt,day_month_year,6/12/2021, ,2021-12-06T00:00:00.000+02:00,month_year, ,1/5/2022,2022-05-01T00:00:00.000+02:00,rainfed,"-14.9865534,28.2620587",1165.949,4.988,"-14.9865534,28.2620587", , ,-14.985454664215561 28.262931928038597 0.0 0.0; -14.986147753215247 28.26282162219286 0.0 0.0; -14.986554 28.262058 0.0 0.0; -14.986242324063635 28.261436261236668 0.0 0.0; -14.985567372299153 28.261871449649334 0.0 0.0; -14.985454664215561 28.262931928038597 0.0 0.0,1,hectare,yes,data-consent_given-field_photo_rpt, ,uuid:85f47c63-1abb-4fd3-9763-4a2a78730efc,uuid:85f47c63-1abb-4fd3-9763-4a2a78730efc
19/4/2022 10:57,19/4/2022 11:00,collect:mUMX72Oc17QENs4a,RCMRD 2, ,RCMRD,Zambia crop type mapping,farmer,yes,no,no, ,annual,no, ,maize, , , , ,"-14.984866,28.25933",harvest_ready, , , ,no, , ,data-consent_given-field_planted-tree_rpt,data-consent_given-field_planted-sampling_site_rpt,month_year, ,1/12/2021,2021-12-01T00:00:00.000+02:00,month_year, ,1/5/2022,2022-05-01T00:00:00.000+02:00,supplementary,"-14.9847915,28.2600045",1155.941,1.008,"-14.9847915,28.2600045", , ,-14.984040626146962 28.25871717184782 0.0 0.0; -14.984040626146962 28.25871717184782 0.0 0.0; -14.983578778432587 28.261316567659378 0.0 0.0; -14.985545025011426 28.263278603553772 0.0 0.0; -14.98605415394404 28.260421715676785 0.0 0.0; -14.984040626146962 28.25871717184782 0.0 0.0,1,hectare,yes,data-consent_given-field_photo_rpt, ,uuid:19f3440f-ad7e-4a59-b058-7baf80573860,uuid:19f3440f-ad7e-4a59-b058-7baf80573860
19/4/2022 11:12,19/4/2022 11:14,collect:mUMX72Oc17QENs4a,RCMRD 2, ,RCMRD,Zambia crop type mapping,farmer,yes,no,no, ,annual,no, ,sorghum, , , , ,"-14.984921,28.263769",harvest_ready, , , ,no, , ,data-consent_given-field_planted-tree_rpt,data-consent_given-field_planted-sampling_site_rpt,unknown, , , ,unknown, , , ,rainfed,"-14.9846798,28.2637229",1166.579,4.777,"-14.9846798,28.2637229", , ,-14.983860227123262 28.2633151486516 0.0 0.0; -14.98521629290074 28.26479271054268 0.0 0.0; -14.98615779327305 28.26395284384489 0.0 0.0; -14.984819546577578 28.26223623007536 0.0 0.0; -14.983860227123262 28.2633151486516 0.0 0.0,1,hectare,yes,data-consent_given-field_photo_rpt, ,uuid:ad3dd458-75f3-4446-bf37-bd1871b9a556,uuid:ad3dd458-75f3-4446-bf37-bd1871b9a556
19/4/2022 11:58,19/4/2022 11:59,collect:mUMX72Oc17QENs4a,RCMRD 2, ,RCMRD,Zambia crop type mapping,institutional,yes,no,no, ,annual,no, ,soybean, , , , ,"-14.982286,28.286282", , , , ,no, , ,data-consent_given-field_planted-tree_rpt,data-consent_given-field_planted-sampling_site_rpt,unknown, , , ,unknown, , , ,supplementary,"-14.9830687,28.2859632",1205.019,0.923,"-14.9830687,28.2859632", , ,-14.983696345652167 28.283461555838585 0.0 0.0; -14.9832298 28.2859577 0.0 0.0; -14.981564255713044 28.288488686084747 0.0 0.0; -14.980888965318316 28.285545967519283 0.0 0.0; -14.982346100061115 28.28314270824194 0.0 0.0; -14.983696345652167 28.283461555838585 0.0 0.0,5,hectare,yes,data-consent_given-field_photo_rpt, ,uuid:c64d815b-1b7a-4108-ab23-a002bf62c343,uuid:c64d815b-1b7a-4108-ab23-a002bf62c343
19/4/2022 11:51,19/4/2022 11:53,collect:mUMX72Oc17QENs4a,RCMRD 2, ,RCMRD,Zambia crop type mapping,farmer,yes,no,no, ,annual,no, ,beans, , , , ,"-14.984335,28.280308", , , , ,no, , ,data-consent_given-field_planted-tree_rpt,data-consent_given-field_planted-sampling_site_rpt,unknown, , , ,unknown, , , ,rainfed,"-14.9844328,28.2814037",1177.800049,1.041,"-14.9844328,28.2814037", , ,-14.983673026539378 28.27989522367716 0.0 0.0; -14.984893066155824 28.27968668192625 0.0 0.0; -14.983696669528724 28.283009603619576 0.0 0.0; -14.981931858941513 28.283426351845264 0.0 0.0; -14.983673026539378 28.27989522367716 0.0 0.0,6,hectare,yes,data-consent_given-field_photo_rpt, ,uuid:350d69c3-47da-41a6-b4b9-a68b89854162,uuid:350d69c3-47da-41a6-b4b9-a68b89854162
