Datetime,wofs_area_percent,wet_percent,green_veg_percent,dry_veg_percent,bare_soil_percent
2015-01-08 10:36:11.651520,38.58,3.32,0.25,36.82,21.02
2015-01-16 10:37:38.956071,38.1,4.3,0.05,35.85,21.69
2015-01-24 10:36:13.481003,35.58,4.1,0.03,42.01,18.29
2015-02-01 10:37:34.789335,36.2,5.1,0.29,33.77,24.64
2015-02-09 10:36:19.331672,36.98,2.48,0.08,36.68,23.78
2015-02-17 10:37:26.524249,37.01,0.88,0.49,37.25,24.38
2015-03-05 10:37:21.243305,30.95,0.61,0.01,43.79,24.64
2015-03-13 10:36:33.511897,28.3,0.18,0.0,51.8,19.72
2015-03-29 10:36:41.305948,28.9,0.48,0.42,43.11,27.09
2015-04-22 10:36:59.039345,14.52,1.6,0.02,54.94,28.92
2015-04-30 10:36:56.106532,25.41,-0.08,0.15,52.96,21.56
2015-05-08 10:36:43.244431,26.83,0.03,0.5,46.38,26.28
2015-05-16 10:37:04.593830,21.05,1.29,0.15,61.47,16.03
2015-06-01 10:37:09.042169,23.63,0.68,0.16,53.71,21.81
2015-06-17 10:37:14.599969,23.62,0.23,0.0,61.0,15.15
2015-06-25 10:36:57.165775,6.62,0.85,0.0,84.36,8.17
2015-07-03 10:37:17.595396,17.12,7.78,0.0,58.16,16.94
2015-07-11 10:37:08.765798,30.15,0.77,0.51,48.88,19.69
2015-07-19 10:37:22.671719,18.26,11.16,0.03,51.16,19.38
2015-07-27 10:37:14.286100,36.76,0.35,0.43,48.96,13.51
2015-08-12 10:37:18.843687,44.41,1.89,13.67,32.74,7.3
2015-08-28 10:37:25.655005,48.32,2.59,27.45,7.93,13.72
2015-09-13 10:37:32.811294,51.04,3.4,17.94,17.12,10.5
2015-09-21 10:37:35.215842,58.33,11.26,8.16,20.54,1.71
2015-09-29 10:37:38.465452,50.24,6.51,3.9,33.75,5.59
2015-10-15 10:37:37.869093,70.58,-1.79,10.4,10.31,10.49
2015-10-23 10:37:58.417384,46.03,17.29,17.56,8.18,10.93
2015-10-31 10:37:44.446106,68.5,1.79,12.63,7.06,10.02
2015-11-08 10:38:12.789409,57.93,13.61,12.33,3.83,12.3
2015-11-16 10:37:45.174205,64.11,4.35,15.39,4.48,11.66
2015-11-24 10:38:28.426971,51.91,20.89,11.35,4.71,11.14
2015-12-10 10:38:43.486589,46.34,19.21,17.19,4.14,13.13
2015-12-18 10:37:46.187211,56.28,3.87,21.95,4.83,13.07
2015-12-26 10:38:56.909252,44.96,12.11,14.4,15.91,12.63
2016-01-27 10:39:23.845107,0.05,0.15,0.0,66.51,33.28
2016-02-04 10:37:39.822394,37.3,2.26,1.53,40.74,18.16
2016-02-12 10:39:29.914036,33.77,4.27,0.2,43.2,18.56
2016-02-28 10:39:33.711024,33.32,1.38,0.11,45.93,19.27
2016-03-07 10:37:30.515489,29.09,5.59,1.09,42.97,21.27
2016-03-15 10:39:43.478491,30.79,0.86,0.27,49.18,18.9
2016-03-23 10:37:22.982025,16.58,12.95,0.35,52.25,17.87
2016-03-31 10:39:47.604410,27.63,0.1,0.0,52.1,20.17
2016-04-08 10:37:15.376836,28.17,0.83,0.23,56.92,13.85
2016-04-16 10:39:54.428714,27.57,0.05,0.0,51.8,20.58
2016-05-02 10:40:00.372923,1.21,-1.21,0.0,100.0,0.0
2016-05-18 10:40:02.100140,28.17,0.06,0.02,51.86,19.88
2016-05-26 10:37:15.815867,30.1,0.29,0.01,60.9,8.71
2016-07-05 10:40:11.455166,22.84,3.04,0.0,55.16,18.96
2016-07-13 10:37:34.290453,29.06,0.34,0.22,52.69,17.69
2016-07-21 10:40:12.947842,33.2,3.36,0.01,62.07,1.36
2016-07-29 10:37:38.469048,38.67,0.41,2.11,48.42,10.4
2016-08-06 10:40:15.021877,44.3,0.47,2.14,42.52,10.56
2016-08-14 10:37:41.200147,52.1,1.55,19.22,15.95,11.18
2016-08-22 10:40:16.794785,51.81,-0.63,2.23,36.77,9.82
2016-08-30 10:37:48.357685,60.16,10.32,10.42,7.04,12.06
2016-09-07 10:40:19.985686,61.75,11.24,6.04,10.63,10.34
2016-10-01 10:37:52.311878,77.41,-0.42,4.98,8.17,9.86
2016-10-17 10:37:57.965902,75.33,3.02,6.27,4.93,10.45
2016-10-25 10:40:20.003513,61.18,13.52,9.84,2.37,13.1
2016-11-02 10:37:58.618458,74.52,-3.71,13.01,4.13,12.06
2016-11-10 10:40:12.892256,55.59,19.2,10.18,3.72,11.31
2016-11-18 10:37:58.201398,67.01,5.93,12.36,2.39,12.31
2016-11-26 10:40:09.089982,53.47,19.27,12.14,3.06,12.07
2016-12-04 10:37:57.119492,59.77,6.89,17.99,3.05,12.29
2016-12-20 10:37:52.034250,48.82,4.62,13.6,12.86,20.11
2016-12-28 10:39:58.319422,45.21,8.72,13.32,17.08,15.66
2017-01-05 10:37:49.774585,48.78,3.84,13.86,17.65,15.87
2017-01-13 10:39:47.713793,43.82,5.82,2.71,30.12,17.53
2017-01-29 10:39:38.553635,43.09,4.2,0.59,32.98,19.13
2017-02-06 10:37:37.369772,35.38,5.14,0.0,41.66,17.82
2017-02-14 10:39:34.481814,38.42,2.42,0.0,41.26,17.89
2017-02-22 10:37:31.870903,33.66,1.31,0.0,45.21,19.82
2017-03-02 10:39:43.231645,33.91,1.21,0.01,43.12,21.75
2017-03-10 10:37:24.204635,32.7,0.6,0.1,40.27,26.33
2017-03-18 10:39:49.214368,30.99,0.58,0.02,43.38,25.03
2017-04-11 10:37:07.375874,25.72,1.21,0.31,47.62,25.14
2017-04-19 10:40:00.341113,25.3,0.08,0.0,53.33,21.29
2017-04-27 10:36:56.715853,25.57,0.06,0.31,50.66,23.39
2017-05-05 10:40:05.290041,24.08,-0.02,0.0,57.92,18.02
2017-05-21 10:40:07.909865,23.96,0.04,0.36,56.91,18.73
2017-05-29 10:37:12.679130,24.2,0.4,0.95,54.86,19.6
2017-06-22 10:40:16.000696,28.19,0.52,0.31,54.87,16.1
2017-06-30 10:37:24.351590,31.18,0.59,0.79,46.0,21.45
2017-07-08 10:40:17.419145,29.31,1.52,0.06,61.32,7.78
2017-07-16 10:37:27.872826,34.87,0.84,3.51,41.59,19.19
2017-07-24 10:40:16.993699,37.55,0.57,1.51,45.09,15.28
2017-08-01 10:37:35.748598,40.08,1.6,14.24,27.63,16.45
2017-08-09 10:40:14.738042,46.65,2.51,7.7,40.91,2.23
2017-08-17 10:37:41.296478,46.07,-2.01,2.04,50.52,3.39
2017-08-25 10:40:14.624820,51.69,5.56,4.6,30.54,7.62
2017-09-02 10:37:44.220114,56.07,2.97,10.46,29.47,1.03
2017-09-18 10:37:46.182570,51.78,5.55,8.71,22.95,11.01
2017-09-26 10:40:13.138002,52.85,13.13,7.9,15.7,10.42
2017-10-04 10:37:52.948437,61.88,0.52,16.02,6.65,14.92
2017-10-12 10:40:15.308852,50.4,12.1,11.54,18.16,7.81
2017-10-20 10:37:55.898351,63.19,-2.1,15.71,9.73,13.46
2017-10-28 10:40:16.143215,38.95,14.62,23.31,7.41,15.71
2017-11-05 10:37:55.086592,56.71,2.39,22.16,4.2,14.53
2017-11-21 10:37:50.386094,43.2,2.25,30.53,9.44,14.59
2017-11-29 10:40:08.228036,35.49,6.39,27.18,14.01,16.93
2017-12-07 10:37:46.577032,39.5,2.66,25.63,15.68,16.53
2017-12-15 10:39:59.618802,32.94,3.22,4.68,37.53,21.62
2017-12-23 10:37:49.503992,36.14,2.83,10.02,30.83,20.16
2017-12-31 10:39:48.306563,34.56,3.77,3.29,37.62,20.76
2018-01-08 10:37:44.131357,26.32,1.94,1.87,52.84,17.03
2018-01-16 10:39:34.648907,31.93,2.29,0.07,45.48,20.24
2018-01-24 10:37:35.715319,32.46,1.46,0.2,43.29,22.58
2018-02-09 10:37:28.172474,31.04,0.79,0.29,48.13,19.75
2018-02-17 10:39:07.518674,29.83,1.26,0.2,45.96,22.75
2018-02-25 10:37:21.885656,29.11,0.6,0.21,54.95,15.13
2018-03-05 10:38:57.242289,27.98,0.68,0.95,46.14,24.25
2018-03-13 10:37:12.832166,33.32,10.31,0.57,34.58,21.22
2018-03-21 10:38:45.137017,25.2,0.39,0.17,51.61,22.64
2018-03-29 10:37:06.002638,24.24,0.37,0.43,49.62,25.36
2018-04-06 10:38:30.997093,23.22,0.11,0.01,52.47,24.19
2018-04-14 10:36:57.221351,23.44,0.31,0.8,47.08,28.37
2018-04-30 10:36:48.254094,20.98,0.23,0.68,45.7,32.4
2018-05-16 10:36:37.829435,2.34,5.96,0.02,65.5,26.18
2018-05-24 10:37:42.552448,16.07,0.53,0.0,63.45,19.96
2018-06-09 10:37:26.465423,5.03,10.0,0.0,56.82,28.15
2018-06-17 10:36:32.781711,12.83,0.69,0.0,72.08,14.4
2018-06-25 10:37:08.517098,16.94,0.32,0.02,62.37,20.35
2018-07-03 10:36:42.341751,19.37,0.44,0.21,74.88,5.1
2018-07-11 10:36:48.932846,10.44,7.25,0.0,71.97,10.34
2018-07-27 10:36:32.771606,36.15,0.6,0.36,43.95,18.95
2018-08-12 10:36:15.146046,48.62,1.32,4.4,32.83,12.83
2018-08-20 10:37:06.242761,59.22,1.19,9.35,20.5,9.74
2018-09-05 10:37:12.468106,72.11,4.48,8.57,8.34,6.5
2018-09-13 10:35:35.345897,74.79,2.88,4.84,12.03,5.46
2018-10-23 10:37:30.735715,77.19,2.11,2.09,9.48,9.12
2018-11-08 10:37:33.689500,77.26,2.34,4.32,4.49,11.59
2018-11-24 10:37:33.669405,79.44,2.48,4.38,2.35,11.35
2018-12-02 10:33:42.250291,71.46,9.51,5.08,1.54,12.41
2018-12-10 10:37:30.692747,67.64,13.9,4.72,2.05,11.69
2018-12-18 10:33:15.761087,59.29,16.13,8.5,3.91,12.17
2018-12-26 10:37:30.458660,68.75,4.66,9.96,4.1,12.53
2019-01-03 10:32:47.220801,57.37,13.08,9.22,6.05,14.28
2019-01-11 10:37:28.795651,62.25,5.17,8.48,9.95,14.15
2019-01-19 10:32:16.802935,54.92,7.41,1.84,18.71,17.12
2019-01-27 10:37:24.855112,41.66,19.31,3.31,19.0,16.72
2019-02-04 10:31:46.612673,41.3,9.41,0.12,30.29,18.88
2019-02-12 10:37:22.771849,51.74,2.75,0.8,25.43,19.28
2019-03-08 10:30:47.960490,36.07,2.89,0.12,37.35,23.57
2019-03-16 10:37:13.339910,21.74,3.63,0.0,53.99,20.64
2019-04-01 10:37:10.269946,28.02,-0.15,0.0,58.02,14.11
2019-04-09 10:29:42.966133,28.79,0.58,0.19,45.53,24.9
2019-04-17 10:37:04.654348,26.94,0.57,0.29,43.1,29.1
2019-04-25 10:29:07.874648,26.19,0.56,0.2,53.25,19.79
2019-05-03 10:37:04.108636,26.21,0.36,0.44,51.11,21.88
2019-05-11 10:28:31.125349,26.78,0.47,0.38,45.17,27.2
2019-05-19 10:37:14.683954,5.25,0.88,0.02,77.07,16.78
2019-05-27 10:27:54.704988,25.91,0.34,0.04,50.28,23.43
2019-06-04 10:37:23.006660,27.58,1.1,0.35,43.87,27.1
2019-06-12 10:27:20.642677,28.48,0.24,0.07,54.42,16.78
2019-06-20 10:37:29.090139,29.18,0.39,0.08,47.36,22.99
2019-06-28 10:26:45.047949,29.58,0.46,0.0,49.21,20.75
2019-07-06 10:37:33.149215,30.91,0.03,0.0,53.63,15.43
2019-07-22 10:37:36.696026,35.81,0.12,0.08,61.87,2.12
2019-07-30 10:25:29.688983,37.22,0.22,0.02,55.55,6.99
2019-08-07 10:37:43.346763,35.51,6.3,15.35,21.46,21.37
2019-08-15 10:24:50.091128,45.07,1.64,20.0,20.11,13.19
2019-08-31 10:24:09.283205,55.52,13.4,14.63,13.66,2.79
2019-09-16 10:23:27.087476,51.23,9.76,18.84,12.78,7.39
2019-09-24 10:37:57.325035,64.96,1.81,18.0,6.2,9.02
2019-10-18 10:22:05.971472,51.15,14.26,18.39,6.15,10.06
2019-10-26 10:38:01.606596,65.49,2.36,16.79,5.15,10.21
2019-11-03 10:21:23.933271,50.53,18.23,16.04,3.93,11.27
2019-11-11 10:37:59.586910,62.98,3.86,18.47,5.37,9.33
2019-11-19 10:20:39.696595,49.65,18.94,16.78,5.07,9.56
2019-11-27 10:37:57.030906,40.36,26.83,18.26,3.4,11.14
2019-12-05 10:19:53.267247,48.79,14.82,21.2,3.14,12.06
2019-12-13 10:37:55.860191,60.96,-0.78,22.64,5.18,12.01
2019-12-21 10:19:04.811039,45.5,7.89,21.72,9.12,15.76
2019-12-29 10:37:51.905045,49.57,1.94,19.53,12.97,15.98
