Datetime,wofs_area_percent,wet_percent,green_veg_percent,dry_veg_percent,bare_soil_percent
2017-01-31,48.95,9.73,18.09,11.69,11.54
2017-02-28,36.57,5.75,0.62,43.64,13.43
2017-03-31,27.72,2.01,1.06,51.62,17.59
2017-04-30,15.22,0.17,0.06,64.75,19.8
2017-05-31,16.58,0.26,0.05,66.34,16.77
2017-06-30,28.28,0.08,0.5,51.83,19.3
2017-07-31,41.89,1.65,0.94,40.39,15.14
2017-08-31,50.49,9.48,12.62,17.63,9.78
2017-09-30,44.21,10.95,29.05,8.84,6.96
2017-10-31,43.88,6.33,30.53,9.56,9.7
2017-11-30,42.47,7.98,31.56,6.99,11.0
2017-12-31,36.37,7.6,30.15,13.08,12.8
2018-01-31,29.1,3.09,3.8,48.49,15.52
2018-02-28,21.82,1.8,1.64,59.38,15.36
2018-03-31,15.28,1.02,4.49,57.69,21.52
2018-04-30,13.18,0.29,0.1,57.76,28.67
2018-05-31,10.82,0.0,0.06,67.98,22.04
2018-06-30,14.26,0.34,0.09,64.15,21.17
2018-07-31,44.04,0.66,0.08,43.91,11.31
2018-08-31,67.55,2.38,5.53,12.24,12.31
2018-09-30,60.43,12.7,12.48,9.62,4.77
2018-10-31,63.47,9.49,15.38,6.39,5.29
2018-11-30,67.42,10.58,12.75,1.39,7.86
2018-12-31,67.94,10.23,12.52,0.87,8.44
2019-01-31,59.05,9.68,17.18,3.94,10.14
2019-02-28,49.04,7.34,3.79,27.65,12.17
2019-03-31,27.99,4.13,0.2,50.28,17.4
2019-04-30,17.29,1.48,0.13,63.74,17.36
2019-05-31,19.31,1.02,0.33,59.17,20.16
2019-06-30,25.89,0.17,0.06,55.2,18.68
2019-07-31,38.5,0.31,0.4,50.35,10.45
2019-08-31,55.55,10.28,18.14,6.58,9.45
2019-09-30,52.91,6.05,25.13,7.5,8.41
2019-10-31,55.88,6.98,23.92,5.09,8.12
2019-11-30,58.59,13.53,17.37,2.07,8.43
2019-12-31,55.41,10.24,23.38,1.55,9.42
2020-01-31,45.26,5.85,24.36,10.82,13.7
2020-02-29,38.57,4.97,4.6,36.23,15.63
2020-03-31,31.33,1.45,0.26,50.1,16.86
2020-04-30,17.58,0.55,1.09,62.73,18.05
2020-05-31,17.64,0.09,0.17,68.39,13.71
2020-06-30,22.55,0.14,0.0,65.82,11.49
2020-07-31,20.54,0.09,0.04,63.2,16.12
2020-08-31,62.93,6.65,14.52,10.35,5.55
2020-09-30,59.23,9.4,20.75,2.92,7.7
2020-10-31,64.05,11.76,14.07,2.06,8.07
2020-11-30,65.53,12.7,12.61,1.31,7.85
2020-12-31,64.88,9.84,15.35,1.62,8.3
