time,Area of waterbodies (km2)
2013-12-31,3822.8804
2014-03-31,2853.0278
2014-06-30,2732.5872
2014-09-30,2905.659
2014-12-31,4388.4556
2015-03-31,3214.0107
2015-06-30,2998.3284
2015-09-30,3283.4978
2015-12-31,3706.2395
2016-03-31,2352.5117
2016-06-30,2284.9055
2016-09-30,2322.864
2016-12-31,3104.5752
2017-03-31,2224.4185
2017-06-30,2132.307
2017-09-30,2376.1511
2017-12-31,3258.6265
2018-03-31,2079.1997
2018-06-30,2183.2786
2018-09-30,2352.186
2018-12-31,3424.779
2019-03-31,2191.7942
2019-06-30,2283.6726
2019-09-30,2437.4133
2019-12-31,3928.472
2020-03-31,2958.8823
2020-06-30,3011.7034
2020-09-30,3690.6714
2020-12-31,4465.0303
2021-03-31,4045.5513
