# Class blue_S1 green_S1 red_S1 nir_S1 swir_1_S1 swir_2_S1 red_edge_1_S1 red_edge_2_S1 red_edge_3_S1 bcdev_S1 edev_S1 sdev_S1 NDVI_S1 LAI_S1 MNDWI_S1 rain_S1 blue_S2 green_S2 red_S2 nir_S2 swir_1_S2 swir_2_S2 red_edge_1_S2 red_edge_2_S2 red_edge_3_S2 bcdev_S2 edev_S2 sdev_S2 NDVI_S2 LAI_S2 MNDWI_S2 rain_S2 slope
0.000000 0.120450 0.158100 0.177500 0.261800 0.352150 0.302250 0.213000 0.235800 0.248950 2.510615 1.974709 7.091150 0.194340 0.432922 -0.380771 229.979370 0.117900 0.157750 0.178000 0.273000 0.359200 0.304250 0.215250 0.246850 0.257650 2.540833 2.039186 7.243516 0.214559 0.496483 -0.394406 240.120636 13.064926
1.000000 0.037950 0.081650 0.062000 0.414150 0.264500 0.154900 0.142700 0.351300 0.398900 2.340624 1.724393 5.098812 0.739590 2.005088 -0.528239 153.819336 0.050900 0.090450 0.086900 0.405550 0.295500 0.180100 0.159000 0.336450 0.386050 2.395440 1.771888 4.859624 0.647072 1.747255 -0.530435 142.858047 2.048115
1.000000 0.064500 0.095650 0.123600 0.264800 0.253900 0.179050 0.161200 0.222700 0.247150 2.582698 2.312469 6.158088 0.362423 0.717294 -0.452823 164.596710 0.069050 0.106700 0.146950 0.246700 0.285450 0.234750 0.178050 0.218400 0.234350 2.604492 2.221375 5.355890 0.254902 0.441457 -0.456202 132.136963 2.376769
1.000000 0.043100 0.084050 0.075850 0.334550 0.271100 0.161350 0.150350 0.276200 0.308050 2.862186 2.425007 6.029220 0.628396 1.465536 -0.526776 169.220459 0.055400 0.096600 0.097100 0.352200 0.308100 0.194950 0.171750 0.288800 0.319850 3.019408 2.496685 6.188809 0.571815 1.402688 -0.527471 156.404755 3.437661
1.000000 0.048600 0.090450 0.078400 0.352300 0.279200 0.173400 0.153000 0.302950 0.337350 2.914629 2.428711 5.853116 0.635954 1.580957 -0.510490 172.563477 0.082150 0.124550 0.158250 0.329300 0.401300 0.299700 0.207000 0.271850 0.302750 2.362341 1.693515 4.787518 0.351310 0.812649 -0.526676 159.594116 4.859127
1.000000 0.090150 0.148700 0.192150 0.313450 0.408850 0.340300 0.233800 0.286000 0.306950 2.590647 1.933722 6.138818 0.243833 0.505133 -0.473173 171.480209 0.066450 0.109700 0.134350 0.307350 0.340900 0.253150 0.189650 0.266850 0.292700 2.907273 2.365381 5.696630 0.389345 0.847740 -0.511202 158.574142 2.245427
1.000000 0.081100 0.120950 0.176350 0.243050 0.439250 0.344800 0.205500 0.225550 0.242350 2.844097 2.376407 6.565813 0.159440 0.238769 -0.568161 216.238098 0.103800 0.149400 0.216250 0.318150 0.420600 0.315350 0.252300 0.278900 0.301500 2.560173 1.790097 4.793137 0.190270 0.381002 -0.475788 231.739319 1.895629
0.000000 0.004400 0.006800 0.006600 0.055000 0.091200 0.056600 0.031000 0.076000 0.086800 2.569059 3.531886 5.163124 0.785714 0.294376 -0.861224 216.016006 0.004200 0.007400 0.007500 0.052900 0.092600 0.058000 0.031400 0.070400 0.080800 2.525798 3.376404 5.304019 0.751656 0.267074 -0.852000 232.546783 33.019356
0.000000 0.044550 0.085150 0.159450 0.204250 0.347300 0.335800 0.178600 0.191600 0.200950 3.259273 2.972302 7.903278 0.122215 0.101752 -0.606294 156.703217 0.048500 0.088300 0.160650 0.222700 0.341150 0.317250 0.183800 0.206250 0.217200 2.954627 2.687702 7.718262 0.161862 0.189731 -0.588776 128.513916 14.166667
1.000000 0.075850 0.113750 0.151150 0.231450 0.422850 0.336500 0.184600 0.219700 0.233050 2.795289 2.377764 6.487472 0.209568 0.344080 -0.575916 216.213348 0.076400 0.119200 0.163750 0.261950 0.422450 0.333250 0.198350 0.240650 0.256250 2.864245 2.211406 6.713305 0.231040 0.414307 -0.559904 231.752258 1.717217
