# Class blue_S1 green_S1 red_S1 nir_S1 swir_1_S1 swir_2_S1 red_edge_1_S1 red_edge_2_S1 red_edge_3_S1 bcdev_S1 edev_S1 sdev_S1 NDVI_S1 LAI_S1 MNDWI_S1 rain_S1 blue_S2 green_S2 red_S2 nir_S2 swir_1_S2 swir_2_S2 red_edge_1_S2 red_edge_2_S2 red_edge_3_S2 bcdev_S2 edev_S2 sdev_S2 NDVI_S2 LAI_S2 MNDWI_S2 rain_S2 slope
0.000000 0.100250 0.136700 0.152200 0.247300 0.324400 0.265050 0.185500 0.216400 0.227800 2.381301 2.092436 6.756420 0.236007 0.487516 -0.407839 229.979370 0.094200 0.125750 0.139700 0.259300 0.305650 0.239300 0.178650 0.223300 0.240150 2.626120 2.163424 6.695310 0.302739 0.685125 -0.418722 240.120636 13.064926
0.000000 0.005200 0.007800 0.007100 0.061900 0.088100 0.053600 0.030200 0.072800 0.086900 2.409601 3.346396 4.747444 0.794203 0.347196 -0.837331 216.016006 0.002000 0.004700 0.004100 0.064400 0.070800 0.040300 0.021400 0.063600 0.080100 2.722489 3.720458 5.597826 0.880292 0.389834 -0.875497 232.546783 33.019356
1.000000 0.053350 0.088500 0.100400 0.247350 0.328100 0.237150 0.146650 0.229350 0.249600 2.153486 1.751134 3.874629 0.421773 0.798305 -0.574826 216.213348 0.036500 0.079850 0.066150 0.338900 0.267000 0.161850 0.144250 0.291550 0.322400 2.401921 1.972159 4.793620 0.673375 1.569379 -0.539640 231.752258 1.717217
1.000000 0.076250 0.107200 0.150150 0.220000 0.404400 0.306300 0.176150 0.195400 0.212500 2.128597 1.836368 6.568812 0.189244 0.291246 -0.580965 216.238098 0.016100 0.035500 0.021850 0.401700 0.125300 0.059050 0.063450 0.274500 0.385750 2.522935 1.985796 6.630437 0.896981 2.315991 -0.558453 231.739319 1.895629
1.000000 0.043200 0.066000 0.061400 0.249800 0.226600 0.176900 0.111900 0.213500 0.241600 2.147395 1.884333 3.772807 0.605398 1.198704 -0.548872 237.190979 0.033100 0.058000 0.051600 0.285000 0.178200 0.119000 0.124100 0.241100 0.267200 2.593909 2.319522 4.898394 0.693405 1.450019 -0.508891 241.214783 3.773077
0.000000 0.084200 0.105800 0.149500 0.212650 0.243750 0.189700 0.175900 0.222350 0.234200 3.319230 3.068385 6.909411 0.166900 0.252474 -0.394429 176.976624 0.081350 0.103600 0.146600 0.225300 0.245100 0.188550 0.177300 0.230100 0.241400 3.097802 2.912810 7.741754 0.203839 0.336800 -0.406166 204.188751 5.064795
0.000000 0.117500 0.113100 0.122300 0.188800 0.199900 0.154450 0.141900 0.164950 0.185500 2.644685 2.470507 6.210402 0.205229 0.369657 -0.277375 178.184479 0.110700 0.102050 0.114000 0.189650 0.199300 0.155650 0.129500 0.164050 0.187900 2.767375 2.729563 6.733521 0.249589 0.466505 -0.322636 204.918884 12.430362
0.000000 0.100400 0.148700 0.198700 0.280000 0.336550 0.251850 0.233700 0.268100 0.277400 2.774426 2.332578 7.095356 0.169856 0.309735 -0.387153 179.275375 0.091400 0.134450 0.181850 0.275500 0.304850 0.225450 0.214900 0.258200 0.269800 2.747868 2.323435 7.200461 0.204831 0.386004 -0.387077 166.052002 28.202175
1.000000 0.041600 0.062500 0.061700 0.234500 0.259400 0.181700 0.108200 0.198000 0.225700 2.478786 2.294959 4.580868 0.583390 1.091079 -0.611681 240.261505 0.033200 0.058300 0.049500 0.310600 0.198300 0.116200 0.118600 0.258900 0.296200 2.742750 2.582538 6.277579 0.725076 1.620296 -0.545596 246.054337 8.858455
0.000000 0.063300 0.086300 0.153900 0.248300 0.281800 0.217000 0.198900 0.246000 0.254400 3.072846 2.762105 7.321405 0.247572 0.417875 -0.532272 177.324020 0.056700 0.078200 0.143700 0.245300 0.264200 0.211100 0.195600 0.236900 0.245500 3.406284 2.995742 7.610671 0.265693 0.429320 -0.542755 204.450867 5.335937
