Datetime,wofs_area_percent,wet_percent,green_veg_percent,dry_veg_percent,bare_soil_percent
2014-01-31,32.89,1.36,40.59,1.25,23.91
2014-02-28,32.58,0.61,53.43,2.07,11.31
2014-03-31,33.02,2.31,61.81,0.86,2.0
2014-04-30,32.88,3.09,54.43,4.19,5.41
2014-05-31,32.28,1.56,28.05,29.71,8.39
2014-06-30,31.21,1.43,5.66,49.57,12.13
2014-07-31,32.25,1.92,1.38,49.75,14.7
2014-08-31,34.5,2.23,1.7,36.88,24.7
2014-09-30,34.9,2.23,3.02,31.91,27.94
2014-10-31,34.34,3.53,3.79,25.2,33.14
2014-11-30,32.98,4.24,9.33,20.36,33.09
2014-12-31,32.25,2.78,17.85,13.45,33.67
2015-01-31,33.37,2.39,17.39,16.32,30.53
2015-02-28,32.5,1.81,16.23,13.97,35.49
2015-03-31,31.6,1.83,12.92,20.87,32.79
2015-04-30,31.42,1.54,32.29,3.11,31.63
2015-05-31,31.14,1.24,28.54,7.06,32.03
2015-06-30,30.02,0.69,15.22,19.14,34.92
2015-07-31,30.42,0.59,5.14,25.91,37.93
2015-08-31,30.75,0.43,1.9,26.84,40.08
2015-09-30,30.69,0.46,1.56,24.06,43.22
2015-10-31,29.49,0.64,2.94,20.16,46.78
2015-11-30,26.84,1.0,2.84,15.73,53.6
2015-12-31,25.2,0.38,5.43,19.68,49.32
2016-01-31,25.43,0.34,6.58,17.15,50.5
2016-02-29,23.07,0.19,26.77,8.3,41.67
2016-03-31,21.32,0.38,59.8,2.78,15.72
2016-04-30,20.39,0.42,49.93,7.96,21.3
2016-05-31,18.53,0.28,20.5,30.64,30.05
2016-06-30,16.99,0.0,10.12,38.69,34.26
2016-07-31,18.2,0.15,4.11,40.23,37.31
2016-08-31,19.77,0.18,1.18,37.67,41.21
2016-09-30,19.35,0.17,0.94,32.84,46.7
2016-10-31,17.99,0.04,1.51,30.37,50.09
2016-11-30,15.23,0.0,3.05,38.43,43.35
2016-12-31,11.26,1.36,3.59,26.65,57.15
2017-01-31,13.73,2.88,72.79,3.3,7.3
2017-02-28,12.24,5.34,81.51,0.29,0.61
2017-03-31,12.2,3.39,83.46,0.13,0.82
2017-04-30,12.14,0.64,76.37,8.82,2.03
2017-05-31,11.52,0.43,34.48,50.1,3.47
2017-06-30,10.33,0.53,9.4,74.7,5.05
2017-07-31,10.23,0.21,3.13,76.18,10.26
2017-08-31,11.03,0.51,1.43,72.06,14.96
2017-09-30,11.01,0.62,1.4,64.84,22.11
2017-10-31,10.19,1.0,2.73,59.9,26.18
2017-11-30,9.6,0.9,5.17,51.76,32.57
2017-12-31,9.03,0.36,9.99,53.59,27.03
2018-01-31,7.94,0.15,11.05,39.4,41.46
2018-02-28,2.96,4.44,16.19,42.74,33.67
2018-03-31,6.56,1.07,74.01,3.8,14.56
2018-04-30,6.06,1.42,69.63,11.59,11.29
2018-05-31,4.73,0.8,29.36,47.14,17.96
2018-06-30,3.4,0.04,9.14,64.43,22.99
2018-07-31,8.04,0.37,1.75,69.9,19.94
2018-08-31,11.8,0.76,0.73,61.72,24.99
2018-09-30,12.48,0.61,1.02,51.87,34.02
2018-10-31,11.43,0.72,1.94,45.09,40.82
2018-11-30,10.02,0.81,9.91,27.99,51.27
2018-12-31,8.53,0.67,9.81,35.26,45.73
2019-01-31,7.52,0.09,32.12,23.7,36.57
2019-02-28,6.52,0.12,41.11,19.9,32.35
2019-03-31,5.02,0.61,33.02,25.07,36.28
2019-04-30,3.52,0.08,26.89,33.96,35.55
2019-05-31,2.57,0.17,18.67,34.67,43.92
2019-06-30,0.65,0.02,10.35,42.78,46.19
2019-07-31,0.1,0.0,5.68,41.9,52.32
2019-08-31,0.01,0.03,1.81,43.63,54.52
2019-09-30,0.0,0.0,0.97,29.82,69.21
2019-10-31,0.0,0.01,0.37,29.69,69.93
2019-11-30,0.0,0.08,7.03,35.76,57.13
2019-12-31,0.01,0.07,20.28,31.86,47.78
2020-01-31,0.02,0.5,60.44,15.82,23.22
2020-02-29,0.02,0.98,66.92,10.47,21.61
2020-03-31,0.01,0.52,93.65,0.28,5.55
2020-04-30,0.0,0.79,85.45,5.72,8.05
2020-05-31,0.0,0.0,48.65,36.34,15.01
2020-06-30,0.0,0.0,6.97,77.58,15.45
2020-07-31,0.48,0.35,0.87,79.21,19.1
2020-08-31,2.51,3.09,0.07,68.81,25.51
2020-09-30,4.08,3.18,0.32,60.26,32.16
2020-10-31,4.35,2.34,3.0,54.35,35.97
2020-11-30,3.65,2.21,10.24,49.93,33.98
2020-12-31,2.4,1.36,55.57,21.51,19.16
2021-01-31,2.32,2.37,91.47,1.47,2.37
2021-02-28,1.5,6.95,90.02,0.74,0.78
2021-03-31,3.83,2.19,92.34,1.0,0.65
2021-04-30,4.04,1.13,76.62,16.79,1.42
2021-05-31,3.73,1.48,26.18,64.46,4.16
2021-06-30,4.14,1.61,11.24,69.22,13.79
2021-07-31,4.61,1.73,7.62,70.5,15.53
2021-08-31,5.71,0.96,3.73,69.63,19.96
