Datetime,wofs_area_percent,wet_percent,green_veg_percent,dry_veg_percent,bare_soil_percent
2018-01-31,34.2,1.93,0.28,44.4,19.19
2018-02-28,31.3,0.99,0.22,49.24,18.25
2018-03-31,28.01,0.74,0.26,47.64,23.35
2018-04-30,24.13,0.23,0.45,48.52,26.68
2018-05-31,14.59,1.19,0.0,63.55,20.66
2018-06-30,17.23,0.65,0.0,62.57,19.55
2018-07-31,33.38,0.6,0.14,54.77,11.1
2018-08-31,59.56,1.0,6.08,22.65,10.71
2018-09-30,75.5,2.79,6.3,9.62,5.79
2018-10-31,77.22,2.07,2.1,9.76,8.85
2018-11-30,81.35,1.01,3.91,3.07,10.67
2018-12-31,78.96,3.45,3.88,1.81,11.9
2019-01-31,64.23,7.03,4.73,9.83,14.19
2019-02-28,53.5,3.9,0.34,27.11,15.16
2019-03-31,34.38,2.84,0.01,43.21,19.56
2019-04-30,29.82,0.45,0.02,49.4,20.31
2019-05-31,27.5,0.37,0.08,51.73,20.32
2019-06-30,30.55,0.19,0.04,48.26,20.96
2019-07-31,37.56,0.17,0.01,55.4,6.86
2019-08-31,55.02,11.04,12.85,11.74,9.35
2019-09-30,64.63,1.77,17.6,7.87,8.13
2019-10-31,64.99,3.8,15.71,6.12,9.38
2019-11-30,63.75,8.1,13.89,4.13,10.13
2019-12-31,60.55,3.83,18.49,4.64,12.5
2020-01-31,46.91,2.41,3.5,28.7,18.48
2020-02-29,38.99,5.51,0.25,36.55,18.69
2020-03-31,38.8,0.29,0.08,39.04,21.8
2020-04-30,31.57,0.24,0.68,46.95,20.57
2020-05-31,26.57,0.4,0.06,58.77,14.21
2020-06-30,29.88,0.32,0.15,54.41,15.24
2020-07-31,29.18,0.53,0.08,45.68,24.53
2020-08-31,61.43,2.36,16.95,15.3,3.97
2020-09-30,75.71,1.1,11.27,4.38,7.54
2020-10-31,74.98,5.58,6.91,3.87,8.67
2020-11-30,73.94,4.85,8.08,3.34,9.79
2020-12-31,73.4,0.87,10.94,4.29,10.5
2021-01-31,50.29,7.42,14.73,11.72,15.85
2021-02-28,42.79,3.27,0.11,38.04,15.79
2021-03-31,34.72,0.88,0.1,46.57,17.72
2021-04-30,32.22,0.26,0.17,46.91,20.43
2021-05-31,24.82,0.0,0.0,60.78,15.25
2021-06-30,27.81,0.37,0.12,53.21,18.49
2021-07-31,29.73,0.81,0.09,53.53,15.84
2021-08-31,60.46,0.88,3.54,28.39,6.73
