time,cumulative 3-month rainfall (mm)
2013-12-31,66.267456
2014-03-31,153.10522
2014-06-30,10.789429
2014-09-30,0.3187256
2014-12-31,44.51007
2015-03-31,48.021973
2015-06-30,24.004639
2015-09-30,0.2310791
2015-12-31,20.60669
2016-03-31,95.88153
2016-06-30,4.5757446
2016-09-30,0.036499023
2016-12-31,47.9834
2017-03-31,182.75189
2017-06-30,15.679382
2017-09-30,0.51678467
2017-12-31,40.253906
2018-03-31,109.15271
2018-06-30,7.0265503
2018-09-30,1.190918
2018-12-31,31.552979
2019-03-31,48.940002
2019-06-30,7.5216064
2019-09-30,0.03930664
2019-12-31,37.720703
2020-03-31,116.33441
2020-06-30,5.2542114
2020-09-30,0.18145752
2020-12-31,65.300964
2021-03-31,193.80261
2021-06-30,0.52526855
