time,cumulative 3-month rainfall (mm)
2013-12-31,63.373413
2014-03-31,120.62622
2014-06-30,18.075378
2014-09-30,0.22436523
2014-12-31,83.91046
2015-03-31,86.0061
2015-06-30,7.255249
2015-09-30,0.46221924
2015-12-31,62.264465
2016-03-31,131.59564
2016-06-30,4.731018
2016-09-30,0.034851074
2016-12-31,79.87451
2017-03-31,117.27521
2017-06-30,7.9301147
2017-09-30,0.52453613
2017-12-31,84.31818
2018-03-31,132.08484
2018-06-30,23.323242
2018-09-30,0.5114136
2018-12-31,53.248657
2019-03-31,86.88422
2019-06-30,11.953186
2019-09-30,0.013122559
2019-12-31,69.46979
2020-03-31,169.06555
2020-06-30,11.663208
2020-09-30,0.6951294
2020-12-31,76.37335
2021-03-31,124.187195
2021-06-30,7.104553
