time,cumulative daily rainfall (mm)
2010-01-01,1.5339966
2010-01-02,2.300354
2010-01-03,2.6585083
2010-01-04,1.8512573
2010-01-05,1.8834839
2010-01-06,2.6593018
2010-01-07,3.1695557
2010-01-08,3.3790894
2010-01-09,2.4228516
2010-01-10,0.8079834
2010-01-11,1.8029175
2010-01-12,3.0420532
2010-01-13,1.4143677
2010-01-14,1.2945557
2010-01-15,1.6376953
2010-01-16,1.6717529
2010-01-17,2.8405762
2010-01-18,3.0592651
2010-01-19,4.479187
2010-01-20,5.911865
2010-01-21,3.067627
2010-01-22,0.58721924
2010-01-23,0.18261719
2010-01-24,0.035888672
2010-01-25,0.24261475
2010-01-26,0.04650879
2010-01-27,0.029907227
2010-01-28,1.3408813
2010-01-29,1.6739502
2010-01-30,0.12390137
2010-01-31,0.0146484375
2010-02-01,0.101989746
2010-02-02,0.066345215
2010-02-03,0.13122559
2010-02-04,0.12835693
2010-02-05,0.20721436
2010-02-06,2.18396
2010-02-07,5.6209717
2010-02-08,0.43518066
2010-02-09,1.105896
2010-02-10,0.4152832
2010-02-11,1.2455444
2010-02-12,0.54400635
2010-02-13,0.3704834
2010-02-14,0.47351074
2010-02-15,0.92718506
2010-02-16,2.4674683
2010-02-17,1.8513794
2010-02-18,1.3353882
2010-02-19,0.6959839
2010-02-20,1.0050049
2010-02-21,1.732666
2010-02-22,1.4963989
2010-02-23,1.7264404
2010-02-24,6.492737
2010-02-25,8.261902
2010-02-26,0.4366455
2010-02-27,0.076049805
2010-02-28,0.10748291
2010-03-01,1.0152588
2010-03-02,2.2149658
2010-03-03,1.9055176
2010-03-04,2.0460205
2010-03-05,3.470398
2010-03-06,2.569397
2010-03-07,1.0632935
2010-03-08,1.536438
2010-03-09,1.0650635
2010-03-10,1.8330078
2010-03-11,2.3110962
2010-03-12,0.899353
2010-03-13,0.40686035
2010-03-14,0.05480957
2010-03-15,1.4116821
2010-03-16,1.7358398
2010-03-17,1.9026489
2010-03-18,2.5081177
2010-03-19,2.5756836
2010-03-20,1.0704346
2010-03-21,1.0075684
2010-03-22,0.8809204
2010-03-23,1.144165
2010-03-24,2.3927612
2010-03-25,1.6499023
2010-03-26,1.8087769
2010-03-27,1.4901123
2010-03-28,2.0534668
2010-03-29,2.0112915
2010-03-30,0.77667236
2010-03-31,0.93756104
2010-04-01,1.2166748
2010-04-02,1.0945435
2010-04-03,0.76501465
2010-04-04,1.9752197
2010-04-05,2.0098267
2010-04-06,1.3925781
2010-04-07,0.87561035
2010-04-08,0.42315674
2010-04-09,0.6600342
2010-04-10,0.13793945
2010-04-11,1.435669
2010-04-12,2.3096924
2010-04-13,0.14294434
2010-04-14,0.16748047
2010-04-15,0.3059082
2010-04-16,0.24456787
2010-04-17,0.28814697
2010-04-18,0.5718384
2010-04-19,1.4351807
2010-04-20,0.024719238
2010-04-21,0.31939697
2010-04-22,0.54803467
2010-04-23,0.7859497
2010-04-24,0.41967773
