time,Area of waterbodies (km2)
2013-12-01,51.1578
2014-03-01,152.5347
2014-06-01,340.632
2014-09-01,121.921196
2014-12-01,41.553898
2015-03-01,162.9774
2015-06-01,252.52649
2015-09-01,81.3051
2015-12-01,41.8509
2016-03-01,123.8994
2016-06-01,324.1962
2016-09-01,100.8702
2016-12-01,33.3783
2017-03-01,95.9796
2017-06-01,132.6069
2017-09-01,76.7079
2017-12-01,34.0263
2018-03-01,90.4041
2018-06-01,452.4075
2018-09-01,95.966095
2018-12-01,33.2838
2019-03-01,37.5462
2019-06-01,91.0422
2019-09-01,50.4054
2019-12-01,23.103899
2020-03-01,126.117
2020-06-01,211.4802
2020-09-01,63.6615
2020-12-01,15.146999
2021-03-01,48.9312
