original_id,id,waterbody_id,date,water_area_ha,percent_invalid,last_date_updated
kekz70yc3g,183875,518,2001-01-04,2241.54,2.62,"2024-08-28 07:16:59"
kekz70yc3g,183876,518,2001-01-29,2151.27,4.69,"2024-08-28 07:16:59"
kekz70yc3g,183877,518,2001-02-05,2172.78,0.19,"2024-08-28 07:16:59"
kekz70yc3g,183878,518,2001-08-25,2032.02,1.43,"2024-08-28 07:16:59"
kekz70yc3g,183879,518,2001-09-10,1961.01,1.89,"2024-08-28 07:16:59"
kekz70yc3g,183880,518,2001-09-17,1905.03,3.66,"2024-08-28 07:16:59"
kekz70yc3g,183881,518,2001-10-03,1893.87,1.23,"2024-08-28 07:16:59"
kekz70yc3g,183882,518,2001-10-12,1863,1.06,"2024-08-28 07:16:59"
kekz70yc3g,183883,518,2002-01-07,2058.21,2.37,"2024-08-28 07:16:59"
kekz70yc3g,183884,518,2002-05-15,2031.93,3.56,"2024-08-28 07:16:59"
kekz70yc3g,183885,518,2002-08-03,1864.35,4.72,"2024-08-28 07:16:59"
kekz70yc3g,183886,518,2002-09-13,1794.24,3.66,"2024-08-28 07:16:59"
kekz70yc3g,183887,518,2002-09-29,1764.36,3.04,"2024-08-28 07:16:59"
kekz70yc3g,183888,518,2002-10-15,1758.42,1.72,"2024-08-28 07:16:59"
kekz70yc3g,183889,518,2002-12-02,1653.75,1.57,"2024-08-28 07:16:59"
kekz70yc3g,183890,518,2003-02-27,1643.04,2.58,"2024-08-28 07:16:59"
kekz70yc3g,183891,518,2003-03-15,1597.77,3.92,"2024-08-28 07:16:59"
kekz70yc3g,183892,518,2003-04-09,1510.29,4.17,"2024-08-28 07:16:59"
kekz70yc3g,183893,518,2003-11-18,1192.77,0.27,"2024-08-28 07:16:59"
kekz70yc3g,183894,518,2004-08-25,1741.77,4.05,"2024-08-28 07:16:59"
kekz70yc3g,183895,518,2005-09-04,1789.65,2.33,"2024-08-28 07:16:59"
