Date,COR_LEVEL,COR_FLOW
2000-01-01,-5.119,0.0
2000-01-02,-4.996,0.0
2000-01-03,-4.161,0.0
2000-01-04,-3.027,0.0
2000-01-05,-2.3055000000000003,0.0
2000-01-06,-1.775,0.0
2000-01-07,-1.639,0.0
2000-01-08,-1.165,0.0
2000-01-09,-1.019,0.0
2000-01-11,-0.609,0.0
2000-01-12,-0.4115,0.0
2000-01-13,-0.325,0.0
2000-01-14,-0.3125,0.0
2000-01-15,-0.2585,0.0
2000-01-16,-0.027000000000000007,11.518666666666666
2000-01-17,1.4353333333333333,823.3963333333332
2000-01-18,1.8283333333333331,1180.2323333333334
2000-01-19,1.096,526.58
2000-01-20,0.6599999999999999,238.0485
2000-01-21,0.506,157.841
2000-01-22,0.374,99.30799999999999
2000-01-23,0.2615,57.5075
2000-01-24,0.208,40.611
2000-01-25,0.17,29.909
2000-01-26,0.16,27.285
2000-01-27,0.1895,35.5345
2000-01-28,0.252,54.74666666666667
2000-01-29,0.482,148.03875
2000-01-30,0.5395000000000001,174.2315
2000-01-31,0.392,107.9085
2000-02-01,0.274,61.742
2000-02-02,0.235,48.8985
2000-02-03,0.2,38.264
2000-02-04,0.133,20.631
2000-02-07,0.097,12.809
2000-02-08,0.0915,11.818000000000001
2000-02-09,0.121,17.883
2000-02-10,0.5895,200.312
2000-02-11,1.2645,670.1495
2000-02-12,1.8771999999999998,1229.958
2000-02-13,1.6740000000000002,1024.4683333333332
2000-02-14,1.41825,789.58425
2000-02-15,1.3485,726.936
2000-02-16,1.05575,494.68450000000007
2000-02-17,0.7923333333333332,316.069
2000-02-18,0.572,190.663
2000-02-19,0.5305,169.8415
2000-02-20,0.447,130.4715
2000-02-21,0.4325,124.0505
2000-02-22,0.392,106.8275
2000-02-23,0.33,81.9915
2000-02-24,0.302,71.609
2000-02-25,0.29,67.318
2000-02-26,0.253,54.686
2000-02-27,0.235,48.934666666666665
2000-02-28,0.215,42.704
2000-02-29,0.1985,37.852000000000004
2000-03-01,0.17900000000000002,32.373333333333335
2000-03-02,0.15833333333333333,26.913666666666668
2000-03-03,0.25825,59.53025
2000-03-04,0.49575,153.24850000000004
2000-03-05,0.679,248.561
2000-03-06,0.65825,236.96749999999997
2000-03-07,0.6196666666666667,216.04999999999998
2000-03-08,0.46699999999999997,139.70100000000002
2000-03-09,0.412,115.123
2000-03-10,0.318,77.476
2000-03-12,0.253,54.703
2000-03-14,0.198,37.689
2000-03-15,0.181,32.889
2000-03-16,0.162,27.803
2000-03-17,0.1745,31.201500000000003
2000-03-18,0.221,44.77
2000-03-19,0.34966666666666674,91.90800000000002
2000-03-20,0.5105,160.01100000000002
2000-03-21,0.504,156.882
2000-03-22,0.556,182.53833333333333
2000-03-23,0.5563333333333333,182.71433333333334
2000-03-24,0.528,168.53
2000-03-25,0.395,107.921
2000-03-26,0.324,79.719
2000-03-27,0.36166666666666664,94.609
2000-03-28,0.3835,103.1875
2000-03-29,0.35433333333333333,91.443
2000-03-31,0.524,166.566
2000-04-01,0.524,166.60500000000002
2000-04-02,0.5465,177.7355
2000-04-03,0.4595,136.83
2000-04-04,0.335,83.888
2000-04-05,0.321,78.60249999999999
2000-04-06,0.6327999999999999,227.019
2000-04-07,0.7505,290.321
2000-04-08,0.89275,380.39050000000003
2000-04-09,0.7856666666666667,312.3633333333333
2000-04-10,0.564,186.566
2000-04-11,0.444,129.121
2000-04-12,0.347,88.522
2000-04-13,0.299,70.527
2000-04-14,0.256,55.675
2000-04-15,0.227,46.375
2000-04-16,0.229,46.998
2000-04-17,0.29,67.318
2000-04-18,0.5,154.997
2000-04-19,0.49,150.25900000000001
2000-04-20,0.435,125.12950000000001
2000-04-21,0.4335,124.50899999999999
2000-04-22,0.43333333333333335,124.43766666666669
2000-04-23,0.3855,104.075
2000-04-24,0.34299999999999997,87.0275
2000-04-26,0.221,44.526
2000-04-27,0.245,52.078
2000-04-28,0.24,50.47
2000-04-29,0.22149999999999997,44.745999999999995
2000-04-30,0.20166666666666666,38.78966666666667
2000-05-02,0.179,32.34
2000-05-03,0.183,33.442
2000-05-04,0.183,33.442
2000-05-05,0.217,43.308
2000-05-06,0.354,91.265
2000-05-07,0.3785,101.1035
2000-05-08,0.382,102.531
2000-05-09,0.45,131.8105
2000-05-10,0.445,129.574
2000-05-11,0.302,71.609
2000-05-12,0.249,53.377
2000-05-13,0.2025,38.9935
2000-05-14,0.232,47.936
2000-05-15,0.232,47.936
2000-05-17,0.1775,31.933
2000-05-19,0.151,24.997
2000-05-21,0.159,27.027
2000-05-25,0.1545,25.9565
2000-05-27,0.17,29.909
2000-05-30,0.135,21.101
2000-06-02,0.115,16.561
2000-06-03,0.131,20.164
2000-06-06,0.121,17.883
2000-06-07,0.12866666666666668,19.660999999999998
2000-06-08,0.1615,27.674500000000002
2000-06-09,0.145,23.51
2000-06-11,0.145,23.51
2000-06-12,0.135,21.101
2000-06-14,0.12,17.66
2000-06-16,0.121,17.883
2000-06-17,0.156,26.259999999999998
2000-06-18,0.151,24.997
2000-06-19,0.13,19.931
2000-06-20,0.129,19.7
2000-06-21,0.127,19.24
2000-06-23,0.145,23.51
2000-06-24,0.1995,38.119
2000-06-26,0.17,29.909
2000-06-28,0.159,27.027
2000-06-29,0.16099999999999998,27.605
2000-06-30,0.167,29.113
2000-07-02,0.139,22.054
2000-07-04,0.123,18.332
2000-07-06,0.11,15.486
2000-07-09,0.102,13.818
2000-07-11,0.08,9.579
2000-07-13,0.075,8.692
2000-07-14,0.087,10.871
2000-07-15,0.1135,16.240250000000003
2000-07-16,0.112,15.913
2000-07-17,0.104,14.229
2000-07-18,0.096,12.61
2000-07-19,0.089,11.251999999999999
2000-07-20,0.084,10.311
2000-07-21,0.082,9.949
2000-07-22,0.09733333333333333,12.899000000000001
2000-07-23,0.09900000000000002,13.210666666666667
2000-07-24,0.086,10.685500000000001
2000-07-25,0.0805,9.6695
2000-07-26,0.08549999999999999,10.651
2000-07-27,0.111,15.699
2000-07-28,0.1055,14.541
2000-07-29,0.1135,16.237000000000002
2000-07-30,0.112,15.9175
2000-07-31,0.09633333333333334,12.691333333333333
2000-08-01,0.087,10.871500000000001
2000-08-02,0.079,9.402
2000-08-03,0.071,8.003
2000-08-04,0.07233333333333335,8.237333333333334
2000-08-05,0.08574999999999999,10.64425
2000-08-06,0.08666666666666667,10.815666666666665
2000-08-07,0.081,9.7625
2000-08-08,0.073,8.345333333333334
2000-08-09,0.074,8.52
2000-08-10,0.0695,7.7509999999999994
2000-08-11,0.0685,7.5825
2000-08-12,0.08233333333333333,10.011666666666668
2000-08-13,0.0875,10.9665
2000-08-14,0.0755,8.7805
2000-08-15,0.0655,7.0875
2000-08-16,0.055,5.448
2000-08-17,0.047,4.301
2000-08-18,0.042,3.632
2000-08-19,0.06,6.2135
2000-08-20,0.063,6.6850000000000005
2000-08-21,0.057499999999999996,5.8335
2000-08-22,0.0405,3.4405
2000-08-23,0.034333333333333334,2.6846666666666663
2000-08-24,0.026,1.766
2000-08-25,0.02,1.191
2000-08-26,0.0485,4.5135000000000005
