water_level,volume_mcm
1.78,0.001981263
1.79,0.059259216
1.80,0.116598169
1.81,0.173998123
1.82,0.231459078
1.83,0.288981034
1.84,0.346563991
1.85,0.404207948
1.86,0.461912906
1.87,0.519678865
1.88,0.577505825
1.89,0.635393786
1.90,0.693342747
1.91,0.751352709
1.92,0.809423672
1.93,0.867555636
1.94,0.9257486
1.95,0.984002565
1.96,1.042317531
1.97,1.100693498
1.98,1.159130466
1.99,1.217628434
2.00,1.276187403
2.01,1.334807373
2.02,1.393488344
2.03,1.452230316
2.04,1.511033288
2.05,1.569897261
2.06,1.628822235
2.07,1.687808209
2.08,1.746855185
2.09,1.805963161
2.10,1.865132138
2.11,1.924362116
2.12,1.983653094
2.13,2.043005074
2.14,2.102418054
2.15,2.161892035
2.16,2.221427017
2.17,2.281022999
2.18,2.340679982
2.19,2.400397966
2.20,2.460176951
2.21,2.520016937
2.22,2.579917923
2.23,2.639879911
2.24,2.699902899
2.25,2.759986887
2.26,2.820131877
2.27,2.880337867
2.28,2.940604858
2.29,3.00093285
2.30,3.061321843
2.31,3.121771837
2.32,3.182282831
2.33,3.242854826
2.34,3.303487822
2.35,3.364181818
2.36,3.424936816
2.37,3.485752814
2.38,3.546629813
2.39,3.607567813
2.40,3.668566813
2.41,3.729626815
2.42,3.790747817
2.43,3.85192982
2.44,3.913172823
2.45,3.974476828
2.46,4.035841833
2.47,4.097267839
2.48,4.158754846
2.49,4.220302853
2.50,4.281911862
2.51,4.343581871
2.52,4.405312881
2.53,4.467104892
2.54,4.528957903
2.55,4.590871916
2.56,4.652846929
2.57,4.714882943
2.58,4.776979957
2.59,4.839137973
2.60,4.901356989
2.61,4.963637006
2.62,5.025978024
2.63,5.088380042
2.64,5.150843062
2.65,5.213367082
2.66,5.275952103
2.67,5.338598125
2.68,5.401305147
2.69,5.46407317
2.70,5.526902194
2.71,5.589792219
2.72,5.652743245
2.73,5.715755271
2.74,5.778828299
2.75,5.841962327
2.76,5.905157355
2.77,5.968413385
2.78,6.031730415
2.79,6.095108447
2.80,6.158547478
2.81,6.222047511
2.82,6.285608545
2.83,6.349230579
2.84,6.412913614
2.85,6.47665765
2.86,6.540462687
2.87,6.604328724
2.88,6.668255762
2.89,6.732243801
2.90,6.796292841
2.91,6.860402881
2.92,6.924573923
2.93,6.988805965
2.94,7.053099008
2.95,7.117453052
2.96,7.181868096
2.97,7.246344141
2.98,7.310881187
2.99,7.375479234
3.00,7.440138282
3.01,7.50485833
3.02,7.569639379
3.03,7.634481429
3.04,7.69938448
3.05,7.764348532
3.06,7.829373584
3.07,7.894459637
3.08,7.959606691
3.09,8.024814746
3.10,8.090083801
3.11,8.155413857
3.12,8.220804915
3.13,8.286256972
3.14,8.351770031
3.15,8.41734409
3.16,8.482979151
3.17,8.548675211
3.18,8.614432273
3.19,8.680250336
3.20,8.746129399
3.21,8.812069463
3.22,8.878070528
3.23,8.944132594
3.24,9.01025566
3.25,9.076439727
3.26,9.142684795
3.27,9.208990864
3.28,9.275357934
3.29,9.341786004
3.30,9.408275075
3.31,9.474825147
3.32,9.54143622
3.33,9.608108294
3.34,9.674841368
3.35,9.741635443
3.36,9.808490519
3.37,9.875406595
3.38,9.942383673
3.39,10.00942175
3.40,10.07652083
3.41,10.14368091
3.42,10.21090199
3.43,10.27818407
3.44,10.34552715
3.45,10.41293124
3.46,10.48039632
3.47,10.54792241
3.48,10.61550949
3.49,10.68315758
3.50,10.75086666
3.51,10.81863675
3.52,10.88646784
3.53,10.95435993
3.54,11.02231302
3.55,11.09032711
3.56,11.1584022
3.57,11.22653829
3.58,11.29473539
3.59,11.36299348
